# MIT Bag Model EoS, B = 160
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
306611.972933, 101990.657644, 4000.0, 102.150657644
304560.414971, 101306.80499, 3979.89949749, 101.979263601
302512.307917, 100624.102639, 3959.79899497, 101.807291498
300467.66344, 99942.55448, 3939.69849246, 101.634736436
298426.493306, 99262.1644355, 3919.59798995, 101.46159345
296388.809385, 98582.9364616, 3899.49748744, 101.287857504
294354.623645, 97904.8745483, 3879.39698492, 101.113523498
292323.94816, 97227.9827201, 3859.29648241, 100.938586257
290296.795109, 96552.2650362, 3839.1959799, 100.763040535
288273.176774, 95877.7255913, 3819.09547739, 100.586881014
286253.105548, 95204.3685161, 3798.99497487, 100.4101023
284236.593932, 94532.1979774, 3778.89447236, 100.232698923
282223.654538, 93861.2181792, 3758.79396985, 100.054665335
280214.300088, 93191.4333628, 3738.69346734, 99.8759959097
278208.543423, 92522.8478075, 3718.59296482, 99.6966849389
276206.397493, 91855.4658312, 3698.49246231, 99.5167266326
274207.875372, 91189.2917906, 3678.3919598, 99.3361151165
272212.990247, 90524.3300823, 3658.29145729, 99.1548444307
270221.75543, 89860.5851432, 3638.19095477, 98.9729085276
268234.184352, 89198.0614507, 3618.09045226, 98.7903012705
266250.290572, 88536.7635239, 3597.98994975, 98.6070164316
264270.087771, 87876.6959238, 3577.88944724, 98.42304769
262293.589762, 87217.863254, 3557.78894472, 98.2383886302
260320.810485, 86560.2701617, 3537.68844221, 98.0530327397
258351.764013, 85903.9213378, 3517.5879397, 97.866973407
256386.464554, 85248.8215179, 3497.48743719, 97.6802039198
254424.926449, 84594.9754828, 3477.38693467, 97.4927174629
252467.164179, 83942.3880597, 3457.28643216, 97.3045071156
250513.192366, 83291.0641221, 3437.18592965, 97.1155658497
248563.025773, 82641.0085911, 3417.08542714, 96.9258865273
246616.679309, 81992.2264362, 3396.98492462, 96.7354618982
244674.168027, 81344.7226755, 3376.88442211, 96.5442845978
242735.507131, 80698.5023771, 3356.7839196, 96.352347144
240800.711979, 80053.5706596, 3336.68341709, 96.1596419353
238869.798079, 79409.9326929, 3316.58291457, 95.9661612477
236942.781097, 78767.5936989, 3296.48241206, 95.7718972322
235019.676859, 78126.5589528, 3276.38190955, 95.5768419118
233100.501351, 77486.8337836, 3256.28140704, 95.3809871787
231185.270725, 76848.423575, 3236.18090452, 95.1843247915
229274.001299, 76211.3337664, 3216.08040201, 94.9868463719
227366.709561, 75575.5698538, 3195.9798995, 94.7885434019
225463.412172, 74941.1373907, 3175.87939698, 94.58940722
223564.125968, 74308.0419893, 3155.77889447, 94.3894290183
221668.867964, 73676.2893212, 3135.67839196, 94.1885998392
219777.655355, 73045.8851184, 3115.57788945, 93.9869105714
217890.505524, 72416.8351747, 3095.47738693, 93.7843519466
216007.436039, 71789.1453464, 3075.37688442, 93.5809145356
214128.464661, 71162.8215536, 3055.27638191, 93.3765887446
212253.609344, 70537.8697812, 3035.1758794, 93.171364811
210382.88824, 69914.2960801, 3015.07537688, 92.9652327996
208516.319705, 69292.1065682, 2994.97487437, 92.7581825978
206653.922296, 68671.3074321, 2974.87437186, 92.5502039121
204795.714783, 68051.9049278, 2954.77386935, 92.3412862628
202941.716146, 67433.905382, 2934.67336683, 92.1314189796
201091.945581, 66817.3151938, 2914.57286432, 91.920591197
199246.422507, 66202.1408357, 2894.47236181, 91.7087918493
197405.166565, 65588.3888549, 2874.3718593, 91.4960096651
195568.197625, 64976.0658749, 2854.27135678, 91.2822331627
193735.535791, 64365.178597, 2834.17085427, 91.0674506439
191907.201404, 63755.7338013, 2814.07035176, 90.8516501891
190083.215047, 63147.7383489, 2793.96984925, 90.6348196506
188263.597548, 62541.1991828, 2773.86934673, 90.4169466477
186448.369989, 61936.1233298, 2753.76884422, 90.1980185594
184637.553706, 61332.5179022, 2733.66834171, 89.9780225186
182831.170297, 60730.3900991, 2713.5678392, 89.7569454054
181029.241626, 60129.7472087, 2693.46733668, 89.5347738398
179231.789829, 59530.5966096, 2673.36683417, 89.3114941752
177438.837318, 58932.9457726, 2653.26633166, 89.0870924904
175650.406789, 58336.8022629, 2633.16582915, 88.8615545825
173866.521225, 57742.1737418, 2613.06532663, 88.6348659585
172087.203906, 57149.0679686, 2592.96482412, 88.4070118275
170312.478409, 56557.4928029, 2572.86432161, 88.177977092
168542.368619, 55967.4562064, 2552.7638191, 87.9477463391
166776.898735, 55378.966245, 2532.66331658, 87.7163038314
165016.093275, 54792.0310915, 2512.56281407, 87.4836334977
163259.977082, 54206.6590273, 2492.46231156, 87.2497189228
161508.575335, 53622.8584449, 2472.36180905, 87.0145433376
159761.913551, 53040.6378505, 2452.26130653, 86.7780896086
158020.017599, 52460.0058664, 2432.16080402, 86.5403402265
156282.9137, 51880.9712334, 2412.06030151, 86.3012772953
154550.62844, 51303.5428135, 2391.95979899, 86.06088252
152823.188778, 50727.7295927, 2371.85929648, 85.8191371945
151100.622052, 50153.5406839, 2351.75879397, 85.5760221889
149382.955988, 49580.9853294, 2331.65829146, 85.3315179358
147670.218713, 49010.0729042, 2311.55778894, 85.0856044169
145962.438757, 48440.812919, 2291.45728643, 84.8382611481
144259.64507, 47873.2150233, 2271.35678392, 84.5894671649
142561.867026, 47307.2890087, 2251.25628141, 84.3392010066
140869.134437, 46743.0448124, 2231.15577889, 84.0874406998
139181.477562, 46180.4925206, 2211.05527638, 83.8341637418
137498.927116, 45619.6423719, 2190.95477387, 83.5793470826
135821.514284, 45060.5047613, 2170.85427136, 83.3229671065
134149.270733, 44503.0902442, 2150.75376884, 83.0649996131
132482.22862, 43947.40954, 2130.65326633, 82.8054197967
130820.420608, 43393.4735361, 2110.55276382, 82.5442022257
129163.879879, 42841.2932931, 2090.45226131, 82.2813208204
127512.640144, 42290.8800479, 2070.35175879, 82.0167488304
125866.735658, 41742.2452194, 2050.25125628, 81.7504588104
124226.201238, 41195.4004126, 2030.15075377, 81.4824225952
122591.072271, 40650.3574238, 2010.05025126, 81.2126112734
120961.384736, 40107.1282454, 1989.94974874, 80.94099516
119337.175215, 39565.7250716, 1969.84924623, 80.6675437678
117718.48091, 39026.1603034, 1949.74874372, 80.3922257771
116105.339664, 38488.4465547, 1929.64824121, 80.1150090041
114497.789974, 37952.5966581, 1909.54773869, 79.835860368
112895.871012, 37418.6236706, 1889.44723618, 79.5547458559
111299.622642, 36886.5408807, 1869.34673367, 79.2716304867
109709.085443, 36356.3618144, 1849.24623116, 78.9864782725
108124.300727, 35828.1002424, 1829.14572864, 78.6992521785
106545.310562, 35301.7701872, 1809.04522613, 78.4099140805
104972.157791, 34777.3859303, 1788.94472362, 78.1184247205
103404.886061, 34254.9620204, 1768.84422111, 77.8247436598
101843.539844, 33734.5132812, 1748.74371859, 77.5288292294
100288.164459, 33216.0548197, 1728.64321608, 77.2306384783
98738.8061062, 32699.6020354, 1708.54271357, 76.9301271182
97195.5118866, 32185.1706289, 1688.44221106, 76.627249466
95658.3298354, 31672.7766118, 1668.34170854, 76.3219583825
94127.3089502, 31162.4363167, 1648.24120603, 76.0142052077
92602.4992226, 30654.1664075, 1628.14070352, 75.7039396926
91083.9516707, 30147.9838902, 1608.04020101, 75.391109927
89571.7183735, 29643.9061245, 1587.93969849, 75.075662263
88065.8525064, 29141.9508355, 1567.83919598, 74.7575412341
86566.4083787, 28642.1361262, 1547.73869347, 74.4366894691
85073.4414727, 28144.4804909, 1527.63819095, 74.1130476012
