# MIT Bag Model EoS, B = 150
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
191.264422582, -136.245192473, 5.0, 11.0038460219
190.988175855, -136.337274715, 4.97487437186, 10.9853831583
190.712393799, -136.429202067, 4.94974874372, 10.9668580251
190.437077987, -136.520974004, 4.92462311558, 10.9482700945
190.162230003, -136.612589999, 4.89949748744, 10.9296188317
189.887851445, -136.704049518, 4.8743718593, 10.9109036943
189.613943925, -136.795352025, 4.84924623116, 10.8921241328
189.340509068, -136.886496977, 4.82412060302, 10.8732795897
189.067548515, -136.977483828, 4.79899497487, 10.8543695001
188.795063919, -137.068312027, 4.77386934673, 10.8353932909
188.523056948, -137.158981017, 4.74874371859, 10.8163503812
188.251529287, -137.249490238, 4.72361809045, 10.7972401817
187.980482633, -137.339839122, 4.69849246231, 10.7780620949
187.7099187, -137.4300271, 4.67336683417, 10.7588155145
187.439839216, -137.520053595, 4.64824120603, 10.7394998257
187.170245926, -137.609918025, 4.62311557789, 10.7201144048
186.901140589, -137.699619804, 4.59798994975, 10.700658619
186.632524982, -137.789158339, 4.57286432161, 10.6811318263
186.364400897, -137.878533034, 4.54773869347, 10.6615333753
186.096770142, -137.967743286, 4.52261306533, 10.6418626048
185.829634543, -138.056788486, 4.49748743719, 10.622118844
185.562995943, -138.145668019, 4.47236180905, 10.6023014121
185.2968562, -138.234381267, 4.4472361809, 10.5824096179
185.031217194, -138.322927602, 4.42211055276, 10.5624427599
184.766080817, -138.411306394, 4.39698492462, 10.5424001258
184.501448984, -138.499517005, 4.37185929648, 10.5222809927
184.237323625, -138.587558792, 4.34673366834, 10.5020846264
183.973706691, -138.675431103, 4.3216080402, 10.4818102813
183.71060015, -138.763133283, 4.29648241206, 10.4614572004
183.44800599, -138.85066467, 4.27135678392, 10.4410246148
183.185926218, -138.938024594, 4.24623115578, 10.4205117435
182.924362863, -139.025212379, 4.22110552764, 10.3999177931
182.66331797, -139.112227343, 4.1959798995, 10.3792419577
182.402793608, -139.199068797, 4.17085427136, 10.3584834183
182.142791864, -139.285736045, 4.14572864322, 10.3376413431
181.88331485, -139.372228383, 4.12060301508, 10.3167148864
181.624364695, -139.458545102, 4.09547738693, 10.2957031889
181.365943551, -139.544685483, 4.07035175879, 10.2746053774
181.108053595, -139.630648802, 4.04522613065, 10.2534205639
180.850697023, -139.716434326, 4.02010050251, 10.232147846
180.593876055, -139.802041315, 3.99497487437, 10.2107863061
180.337592935, -139.887469022, 3.96984924623, 10.1893350112
180.08184993, -139.97271669, 3.94472361809, 10.1677930125
179.826649331, -140.057783556, 3.91959798995, 10.146159345
179.571993453, -140.142668849, 3.89447236181, 10.1244330272
179.317884636, -140.227371788, 3.86934673367, 10.1026130608
179.064325247, -140.311891584, 3.84422110553, 10.08069843
178.811317677, -140.396227441, 3.81909547739, 10.0586881014
178.558864344, -140.480378552, 3.79396984925, 10.0365810233
178.306967691, -140.564344103, 3.76884422111, 10.0143761255
178.055630191, -140.64812327, 3.74371859296, 9.99207231866
177.804854342, -140.731715219, 3.71859296482, 9.96966849389
177.554642672, -140.815119109, 3.69346733668, 9.94716352233
177.304997736, -140.898334088, 3.66834170854, 9.92455625457
177.055922119, -140.981359294, 3.6432160804, 9.90184552015
176.807418435, -141.064193855, 3.61809045226, 9.87903012705
176.55948933, -141.14683689, 3.59296482412, 9.8561088611
176.31213748, -141.229287507, 3.56783919598, 9.83308048547
176.065365591, -141.311544803, 3.54271356784, 9.80994374
175.819176401, -141.393607866, 3.5175879397, 9.7866973407
175.573572684, -141.475475772, 3.49246231156, 9.763339979
175.328557242, -141.557147586, 3.46733668342, 9.73987032123
175.084132916, -141.638622361, 3.44221105528, 9.71628700782
174.840302577, -141.719899141, 3.41708542714, 9.69258865273
174.597069135, -141.800976955, 3.39195979899, 9.66877384263
174.354435532, -141.881854823, 3.36683417085, 9.64484113623
174.112404751, -141.96253175, 3.34170854271, 9.62078906348
173.870979808, -142.043006731, 3.31658291457, 9.59661612477
173.63016376, -142.123278747, 3.29145728643, 9.57232079014
173.389959701, -142.203346766, 3.26633165829, 9.54790149837
173.150370766, -142.283209745, 3.24120603015, 9.52335665617
172.91140013, -142.362866623, 3.21608040201, 9.49868463719
172.673051009, -142.44231633, 3.19095477387, 9.47388378115
172.435326661, -142.52155778, 3.16582914573, 9.44895239279
172.198230388, -142.600589871, 3.14070351759, 9.42388874087
171.961765536, -142.679411488, 3.11557788945, 9.39869105714
171.725935493, -142.758021502, 3.09045226131, 9.37335753519
171.490743697, -142.836418768, 3.06532663317, 9.34788632937
171.25619363, -142.914602123, 3.04020100503, 9.32227555356
171.022288824, -142.992570392, 3.01507537688, 9.29652327996
170.789032858, -143.070322381, 2.98994974874, 9.27062753779
170.556429362, -143.147856879, 2.9648241206, 9.24458631203
170.324482018, -143.225172661, 2.93969849246, 9.21839754194
170.093194558, -143.302268481, 2.91457286432, 9.1920591197
169.862570771, -143.379143076, 2.88944723618, 9.1655688889
169.632614497, -143.455795168, 2.86432160804, 9.13892464297
169.403329635, -143.532223455, 2.8391959799, 9.11212412357
169.17472014, -143.60842662, 2.81407035176, 9.08516501891
168.946790027, -143.684403324, 2.78894472362, 9.05804496198
168.71954337, -143.76015221, 2.76381909548, 9.03076152875
168.492984304, -143.835671899, 2.73869346734, 9.00331223625
168.26711703, -143.91096099, 2.7135678392, 8.97569454054
168.04194581, -143.986018063, 2.68844221106, 8.9479058347
167.817474975, -144.060841675, 2.66331658291, 8.91994344663
167.593708923, -144.135430359, 2.63819095477, 8.8918046368
167.370652123, -144.209782626, 2.61306532663, 8.86348659585
167.148309112, -144.283896963, 2.58793969849, 8.83498644219
166.926684505, -144.357771832, 2.56281407035, 8.80630121936
166.705782988, -144.431405671, 2.53768844221, 8.77742789335
166.485609327, -144.504796891, 2.51256281407, 8.74836334977
166.266168367, -144.577943878, 2.48743718593, 8.71910439092
166.047465034, -144.650844989, 2.46231155779, 8.68964773265
165.829504336, -144.723498555, 2.43718592965, 8.65999000115
165.61229137, -144.795902877, 2.41206030151, 8.63012772953
165.395831319, -144.868056227, 2.38693467337, 8.60005735426
165.180129457, -144.939956848, 2.36180904523, 8.56977521143
164.965191154, -145.011602949, 2.33668341709, 8.5392775328
164.751021871, -145.08299271, 2.31155778894, 8.50856044169
164.537627173, -145.154124276, 2.2864321608, 8.47761994865
164.325012724, -145.224995759, 2.26130653266, 8.44645194687
164.113184293, -145.295605236, 2.23618090452, 8.41505220743
163.902147756, -145.365950748, 2.21105527638, 8.38341637418
163.691909103, -145.436030299, 2.18592964824, 8.35153995847
163.482474435, -145.505841855, 2.1608040201, 8.31941833354
163.273849974, -145.575383342, 2.13567839196, 8.2870467286
163.066042061, -145.644652646, 2.11055276382, 8.25442022257
162.859057165, -145.713647612, 2.08542713568, 8.22153373752
162.652901883, -145.782366039, 2.06030150754, 8.18838203173
162.447582947, -145.850805684, 2.0351758794, 8.15495969229
162.243107227, -145.918964258, 2.01005025126, 8.12126112734
162.039481735, -145.986839422, 1.98492462312, 8.08728055783
161.836713631, -146.05442879, 1.95979899497, 8.05301200881
161.634810228, -146.121729924, 1.93467336683, 8.01844930016
161.433778997, -146.188740334, 1.90954773869, 7.9835860368
161.233627573, -146.255457476, 1.88442211055, 7.94841559822
161.034363758, -146.321878747, 1.85929648241, 7.91293112749
160.835995532, -146.388001489, 1.83417085427, 7.87712551941
160.638531056, -146.453822981, 1.80904522613, 7.84099140805
160.441978679, -146.51934044, 1.78391959799, 7.80452115336
160.246346945, -146.584551018, 1.75879396985, 7.76770682696
160.051644603, -146.649451799, 1.73366834171, 7.73054019697
159.857880611, -146.714039796, 1.70854271357, 7.69301271182
159.665064146, -146.778311951, 1.68341708543, 7.65511548286
159.473204615, -146.842265128, 1.65829145729, 7.6168392659
159.282311659, -146.905896114, 1.63316582915, 7.5781744413
159.092395167, -146.969201611, 1.60804020101, 7.5391109927
158.903465286, -147.032178238, 1.58291457286, 7.49963848416
158.715532429, -147.094822524, 1.55778894472, 7.45974603561
158.528607288, -147.157130904, 1.53266331658, 7.41942229646
158.342700849, -147.219099717, 1.50753768844, 7.37865541712
158.157824399, -147.2807252, 1.4824120603, 7.33743301836
157.973989545, -147.342003485, 1.45728643216, 7.29574215818
157.791208226, -147.402930591, 1.43216080402, 7.25356929606
157.609492731, -147.463502423, 1.40703517588, 7.21090025416
157.428855709, -147.523714764, 1.38190954774, 7.16772017541
157.249310197, -147.583563268, 1.3567839196, 7.1240134779
157.07086963, -147.643043457, 1.33165829146, 7.07976380534
156.893547863, -147.702150712, 1.30653266332, 7.03495397318
156.717359197, -147.760880268, 1.28140703518, 6.98956590978
156.542318397, -147.819227201, 1.25628140704, 6.94358059221
156.368440719, -147.877186427, 1.23115577889, 6.89697797602
156.195741936, -147.934752688, 1.20603015075, 6.84973691824
156.024238367, -147.991920544, 1.18090452261, 6.80183509288
155.853946909, -148.048684364, 1.15577889447, 6.75324889794
155.684885067, -148.105038311, 1.13065326633, 6.70395335293
155.517070993, -148.160976336, 1.10552763819, 6.65392198573
155.350523525, -148.216492158, 1.08040201005, 6.60312670721
155.185262228, -148.271579257, 1.05527638191, 6.55153767234
155.02130744, -148.326230853, 1.03015075377, 6.49912312555
154.858680323, -148.380439892, 1.00502512563, 6.44584922842
154.697402917, -148.434199028, 0.979899497487, 6.39167986715
154.537498202, -148.487500599, 0.954773869347, 6.33657643664
154.378990159, -148.540336614, 0.929648241206, 6.28049759796
154.221903847, -148.592698718, 0.904522613065, 6.22339900481
154.06626548, -148.644578173, 0.879396984925, 6.16523299425
153.912102513, -148.695965829, 0.854271356784, 6.10594823577
153.759443743, -148.746852086, 0.829145728643, 6.04548933168
153.608319413, -148.797226862, 0.804020100503, 5.98379636036
