# MIT Bag Model EoS B = 60, , , 
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
3906.54465561, 1222.18155187, 150.0, 34.1915080498
3880.79377126, 1213.59792375, 149.246231156, 34.13413964
3855.08620225, 1205.02873408, 148.492462312, 34.0765777438
3829.42209504, 1196.47403168, 147.738693467, 34.0188207217
3803.80159734, 1187.93386578, 146.984924623, 33.9608669115
3778.22485811, 1179.40828604, 146.231155779, 33.9027146283
3752.69202759, 1170.89734253, 145.477386935, 33.8443621642
3727.20325734, 1162.40108578, 144.72361809, 33.7858077875
3701.75870019, 1153.91956673, 143.969849246, 33.7270497423
3676.35851035, 1145.45283678, 143.216080402, 33.6680862484
3651.00284335, 1137.00094778, 142.462311558, 33.6089155004
3625.6918561, 1128.56395203, 141.708542714, 33.5495356673
3600.4257069, 1120.1419023, 140.954773869, 33.4899448924
3575.20455546, 1111.73485182, 140.201005025, 33.4301412921
3550.02856293, 1103.34285431, 139.447236181, 33.370122956
3524.89789188, 1094.96596396, 138.693467337, 33.3098879461
3499.81270638, 1086.60423546, 137.939698492, 33.2494342961
3474.773172, 1078.257724, 137.185929648, 33.1887600111
3449.77945578, 1069.92648526, 136.432160804, 33.1278630669
3424.83172634, 1061.61057545, 135.67839196, 33.0667414095
3399.93015385, 1053.31005128, 134.924623116, 33.0053929543
3375.07491006, 1045.02497002, 134.170854271, 32.9438155856
3350.26616831, 1036.75538944, 133.417085427, 32.882007156
3325.5041036, 1028.50136787, 132.663316583, 32.8199654857
3300.78889257, 1020.26296419, 131.909547739, 32.7576883617
3276.12071354, 1012.04023785, 131.155778894, 32.6951735373
3251.49974653, 1003.83324884, 130.40201005, 32.6324187314
3226.92617331, 995.64205777, 129.648241206, 32.5694216273
3202.4001774, 987.466725801, 128.894472362, 32.5061798728
3177.92194412, 979.307314705, 128.140703518, 32.4426910786
3153.49166057, 971.163886856, 127.386934673, 32.378952818
3129.10951573, 963.036505243, 126.633165829, 32.3149626259
3104.77570044, 954.925233479, 125.879396985, 32.250717998
3080.49040744, 946.830135812, 125.125628141, 32.1862163898
3056.2538314, 938.751277133, 124.371859296, 32.1214552161
3032.06616897, 930.688722989, 123.618090452, 32.0564318496
3007.92761878, 922.642539592, 122.864321608, 31.9911436203
2983.83838149, 914.612793831, 122.110552764, 31.9255878144
2959.79865984, 906.599553281, 121.35678392, 31.8597616734
2935.80865865, 898.602886218, 120.603015075, 31.7936623929
2911.86858488, 890.622861626, 119.849246231, 31.7272871218
2887.97864764, 882.659549212, 119.095477387, 31.6606329609
2864.13905826, 874.71301942, 118.341708543, 31.5936969622
2840.35003032, 866.783343439, 117.587939698, 31.5264761272
2816.61177965, 858.870593216, 116.834170854, 31.4589674065
2792.92452442, 850.974841475, 116.08040201, 31.3911676976
2769.28848517, 843.096161722, 115.326633166, 31.3230738445
2745.7038848, 835.234628266, 114.572864322, 31.2546826359
2722.17094868, 827.390316228, 113.819095477, 31.1859908043
2698.68990468, 819.563301559, 113.065326633, 31.116995024
2675.26098315, 811.753661051, 112.311557789, 31.0476919104
2651.88441707, 803.961472356, 111.557788945, 30.9780780178
2628.56044199, 796.186813997, 110.804020101, 30.9081498386
2605.28929617, 788.42976539, 110.050251256, 30.8379038014
2582.07122056, 780.690406852, 109.296482412, 30.7673362692
2558.90645888, 772.968819626, 108.542713568, 30.6964435381
2535.79525768, 765.265085892, 107.788944724, 30.6252218354
2512.73786637, 757.579288788, 107.035175879, 30.5536673181
2489.73453728, 749.911512427, 106.281407035, 30.4817760705
2466.78552574, 742.261841912, 105.527638191, 30.4095441029
2443.89109009, 734.630363362, 104.773869347, 30.3369673494
2421.05149177, 727.017163924, 104.020100503, 30.2640416659
2398.2669954, 719.4223318, 103.266331658, 30.1907628279
2375.53786878, 711.84595626, 102.512562814, 30.1171265286
2352.86438301, 704.288127669, 101.75879397, 30.0431283765
2330.24681252, 696.748937506, 101.005025126, 29.9687638933
2307.68543515, 689.228478384, 100.251256281, 29.894028511
2285.18053224, 681.726844079, 99.4974874372, 29.8189175701
2262.73238864, 674.244129548, 98.743718593, 29.7434263165
2240.34129286, 666.780430952, 97.9899497487, 29.6675498994
2218.00753706, 659.335845688, 97.2361809045, 29.5912833678
2195.73141722, 651.910472406, 96.4824120603, 29.5146216685
2173.51323312, 644.504411041, 95.7286432161, 29.4375596424
2151.35328851, 637.117762836, 94.9748743719, 29.3600920221
2129.25189112, 629.750630374, 94.2211055276, 29.2822134281
2107.2093528, 622.403117601, 93.4673366834, 29.2039183662
2085.22598958, 615.075329861, 92.7135678392, 29.1252012233
2063.30212177, 607.767373922, 91.959798995, 29.0460562646
2041.43807403, 600.479358009, 91.2060301508, 28.9664776295
2019.63417551, 593.211391835, 90.4522613065, 28.8864593278
1997.89075991, 585.963586637, 89.6984924623, 28.805995236
1976.20816561, 578.736055205, 88.9447236181, 28.7250790928
1954.58673576, 571.528911921, 88.1909547739, 28.6437044951
1933.02681839, 564.342272795, 87.4371859296, 28.5618648934
1911.5287665, 557.176255501, 86.6834170854, 28.4795535872
1890.09293824, 550.030979414, 85.9296482412, 28.3967637201
1868.71969697, 542.906565656, 85.175879397, 28.313488275
1847.40941138, 535.803137128, 84.4221105528, 28.2297200687
1826.16245569, 528.720818562, 83.6683417085, 28.1454517463
1804.97920967, 521.659736556, 82.9145728643, 28.0606757757
1783.86005888, 514.620019626, 82.1608040201, 27.9753844417
1762.80539475, 507.601798249, 81.4070351759, 27.8895698399
1741.81561474, 500.605204912, 80.6532663317, 27.8032238698
1720.8911225, 493.630374165, 79.8994974874, 27.7163382286
1700.032328, 486.677442668, 79.1457286432, 27.628904404
1679.23964774, 479.746549247, 78.391959799, 27.5409136667
1658.51350485, 472.837834951, 77.6381909548, 27.4523570628
1637.85432932, 465.951443106, 76.8844221106, 27.363225406
1617.26255813, 459.087519376, 76.1306532663, 27.2735092689
1596.73863548, 452.246211827, 75.3768844221, 27.1831989743
1576.28301296, 445.427670987, 74.6231155779, 27.0922845863
1555.89614975, 438.632049915, 73.8693467337, 27.0007559002
1535.5785128, 431.859504268, 73.1155778894, 26.9086024328
1515.33057712, 425.110192373, 72.3618090452, 26.8158134117
1495.15282591, 418.384275302, 71.608040201, 26.7223777642
1475.04575084, 411.681916947, 70.8542713568, 26.6282841057
1455.00985231, 405.003284102, 70.1005025126, 26.5335207273
1435.04563963, 398.348546544, 69.3467336683, 26.4380755833
1415.15363136, 391.717877121, 68.5929648241, 26.3419362776
1395.33435552, 385.111451841, 67.8391959799, 26.2450900493
1375.5883499, 378.529449965, 67.0854271357, 26.1475237582
1355.91616232, 371.972054106, 66.3316582915, 26.0492238688
1336.31835098, 365.439450327, 65.5778894472, 25.9501764337
1316.79548475, 358.931828252, 64.824120603, 25.8503670766
1297.34814351, 352.44938117, 64.0703517588, 25.7497809735
1277.97691847, 345.992306156, 63.3165829146, 25.6484028334
1258.68241256, 339.560804185, 62.5628140704, 25.546216878
1239.46524078, 333.155080261, 61.8090452261, 25.4432068202
1220.32603064, 326.775343547, 61.0552763819, 25.3393558406
1201.2654225, 320.4218075, 60.3015075377, 25.2346465642
1182.28407005, 314.094690017, 59.5477386935, 25.129061034
1163.38264074, 307.79421358, 58.7939698492, 25.0225806846
1144.56181625, 301.520605418, 58.040201005, 24.9151863128
1125.822293, 295.274097667, 57.2864321608, 24.8068580476
1107.16478263, 289.054927542, 56.5326633166, 24.6975753176
1088.59001256, 282.863337519, 55.7788944724, 24.5873168167
1070.09872658, 276.699575525, 55.0251256281, 24.4760604674
1051.6916854, 270.563895133, 54.2713567839, 24.363783382
1033.36966732, 264.456555773, 53.5175879397, 24.2504618211
1015.13346885, 258.377822951, 52.7638190955, 24.1360711494
996.983905448, 252.327968483, 52.0100502513, 24.0205857886
978.921812194, 246.307270731, 51.256281407, 23.9039791669
960.948044604, 240.316014868, 50.5025125628, 23.7862236652
943.063479424, 234.354493141, 49.7487437186, 23.6672905596
925.269015483, 228.423005161, 48.9949748744, 23.5471499598
907.565574603, 222.521858201, 48.2412060302, 23.4257707425
889.954102554, 216.651367518, 47.4874371859, 23.3031204809
872.43557006, 210.811856687, 46.7336683417, 23.179165368
855.010973875, 205.003657958, 45.9798994975, 23.053870135
837.681337918, 199.227112639, 45.2261306533, 22.9271979623
820.447714472, 193.482571491, 44.472361809, 22.7991103849
803.311185467, 187.770395156, 43.7185929648, 22.669567189
786.272863842, 182.090954614, 42.9648241206, 22.5385263009
769.333894983, 176.444631661, 42.2110552764, 22.4059436669
752.495458272, 170.831819424, 41.4572864322, 22.2717731226
735.758768729, 165.25292291, 40.7035175879, 22.1359662514
719.125078764, 159.708359588, 39.9497487437, 21.9984722304
702.595680054, 154.198560018, 39.1959798995, 21.8592376634
686.171905553, 148.723968518, 38.4422110553, 21.7182063974
669.855131641, 143.28504388, 37.6884422111, 21.5753193238
653.646780435, 137.882260145, 36.9346733668, 21.4305141599
637.54832227, 132.516107423, 36.1809045226, 21.2837252096
621.561278367, 127.187092789, 35.4271356784, 21.1348831007
605.687223715, 121.895741238, 34.6733668342, 20.9839144965
589.927790172, 116.642596724, 33.9195979899, 20.8307417766
574.284669831, 111.428223277, 33.1658291457, 20.6752826861
558.759618652, 106.253206217, 32.4120603015, 20.5174499456
543.354460412, 101.118153471, 31.6582914573, 20.3571508195
528.071090995, 96.0236969984, 30.9045226131, 20.1942866359
512.911483063, 90.9704943545, 30.1507537688, 20.028752251
497.877691159, 85.9592303863, 29.3969849246, 19.8604354509
482.97185728, 80.9906190933, 28.6432160804, 19.6892162804
468.196216995, 76.0654056649, 27.8894472362, 19.51496629
453.553106157, 71.1843687191, 27.135678392, 19.3375476853
439.044968307, 66.348322769, 26.3819095477, 19.1568123665
424.674362838, 61.5581209461, 25.6281407035, 18.9726008379
410.443974048, 56.814658016, 24.8743718593, 18.7847409658
396.356621184, 52.1188737281, 24.1206030151, 18.5930465599
